Filename,Deterministic_MK,Stochastic_MK
job3_m3_289.json,55.00,55.00
job6_m4_290.json,67.00,67.00
job3_m4_291.json,50.00,50.00
job5_m3_292.json,89.00,89.00
job5_m3_293.json,77.00,77.00
job6_m4_294.json,65.00,65.00
job4_m3_295.json,48.00,48.00
job5_m4_296.json,64.00,64.00
job3_m3_297.json,60.00,60.00
job6_m4_298.json,59.00,59.00
job3_m3_299.json,30.00,30.00
job3_m3_300.json,40.00,40.00
job4_m3_301.json,65.00,65.00
job5_m4_302.json,80.00,80.00
job4_m4_303.json,56.00,56.00
job3_m4_304.json,54.00,54.00
job3_m4_305.json,54.00,54.00
job4_m3_306.json,67.00,67.00
job4_m4_307.json,46.00,46.00
job5_m4_308.json,61.00,61.00
job6_m3_309.json,93.00,93.00
job6_m4_310.json,80.00,80.00
job6_m3_311.json,101.00,101.00
job6_m3_312.json,94.00,94.00
job3_m3_313.json,56.00,56.00
job4_m4_314.json,55.00,55.00
job3_m4_315.json,48.00,48.00
job3_m4_316.json,38.00,38.00
job3_m4_317.json,41.00,41.00
job5_m3_318.json,67.00,67.00
job5_m4_319.json,51.00,51.00
job5_m3_320.json,81.00,81.00
job3_m4_321.json,53.00,53.00
job3_m4_322.json,41.00,41.00
job5_m3_323.json,67.00,67.00
job5_m3_324.json,73.00,73.00
job3_m3_325.json,48.00,48.00
job6_m4_326.json,74.00,74.00
job5_m4_327.json,57.00,57.00
job6_m3_328.json,86.00,86.00
job6_m3_329.json,93.00,93.00
job5_m4_330.json,67.00,67.00
job5_m4_331.json,60.00,60.00
job5_m3_332.json,75.00,75.00
job4_m3_333.json,54.00,54.00
job5_m3_334.json,74.00,74.00
job5_m4_335.json,54.00,54.00
job4_m4_336.json,52.00,52.00
job5_m4_337.json,65.00,65.00
job3_m4_338.json,40.00,40.00
job4_m3_339.json,53.00,53.00
job6_m3_340.json,96.00,96.00
job3_m4_341.json,60.00,60.00
job5_m4_342.json,59.00,59.00
job3_m3_343.json,61.00,61.00
job3_m3_344.json,56.00,56.00
job4_m4_345.json,55.00,55.00
job6_m4_346.json,68.00,68.00
job5_m3_347.json,80.00,80.00
job6_m3_348.json,85.00,85.00
job4_m4_349.json,54.00,54.00
job5_m3_350.json,71.00,71.00
job4_m4_351.json,51.00,51.00
job4_m3_352.json,51.00,51.00
job6_m3_353.json,86.00,86.00
job5_m3_354.json,74.00,74.00
job6_m3_355.json,91.00,91.00
job3_m4_356.json,48.00,48.00
job5_m4_357.json,69.00,69.00
job6_m3_358.json,88.00,88.00
job6_m4_359.json,66.00,66.00
job4_m4_360.json,50.00,50.00
job6_m4_361.json,71.00,71.00
job3_m3_362.json,37.00,37.00
job3_m3_363.json,52.00,52.00
job3_m3_364.json,51.00,51.00
job4_m4_365.json,60.00,60.00
job3_m3_366.json,64.00,64.00
job6_m4_367.json,66.00,66.00
job6_m4_368.json,70.00,70.00
job4_m4_369.json,55.00,55.00
job5_m3_370.json,74.00,74.00
job3_m4_371.json,37.00,37.00
job3_m3_372.json,43.00,43.00
job5_m4_373.json,68.00,68.00
job6_m3_374.json,88.00,88.00
job5_m3_375.json,78.00,78.00
job5_m4_376.json,64.00,64.00
job3_m4_377.json,46.00,46.00
job4_m4_378.json,45.00,45.00
job4_m4_379.json,55.00,55.00
job6_m3_380.json,104.00,104.00
job3_m4_381.json,46.00,46.00
job4_m3_382.json,65.00,65.00
job6_m3_383.json,92.00,92.00
job4_m3_384.json,55.00,55.00
job3_m4_385.json,57.00,57.00
job3_m3_386.json,47.00,47.00
job4_m3_387.json,53.00,53.00
job5_m4_388.json,64.00,64.00
job4_m4_389.json,60.00,60.00
job3_m3_390.json,56.00,56.00
job6_m4_391.json,59.00,59.00
job4_m3_392.json,51.00,51.00
job6_m3_393.json,93.00,93.00
job3_m3_394.json,40.00,40.00
job5_m4_395.json,64.00,64.00
job6_m3_396.json,89.00,89.00
job5_m4_397.json,47.00,47.00
job6_m3_398.json,99.00,99.00
job5_m4_399.json,50.00,50.00
job6_m4_400.json,81.00,81.00
job6_m4_401.json,67.00,67.00
job6_m3_402.json,86.00,86.00
job5_m3_403.json,66.00,66.00
job3_m3_404.json,59.00,59.00
job5_m4_405.json,61.00,61.00
job3_m4_406.json,52.00,52.00
job4_m3_407.json,57.00,57.00
job5_m4_408.json,70.00,70.00
job6_m3_409.json,81.00,81.00
job3_m4_410.json,60.00,60.00
job6_m3_411.json,73.00,73.00
job5_m4_412.json,60.00,60.00
job4_m4_413.json,56.00,56.00
job4_m3_414.json,56.00,56.00
job5_m4_415.json,63.00,63.00
job4_m4_416.json,58.00,58.00
job6_m4_417.json,78.00,78.00
job6_m4_418.json,67.00,67.00
job6_m4_419.json,65.00,65.00
job3_m3_420.json,45.00,45.00
job5_m3_421.json,72.00,72.00
job6_m4_422.json,70.00,70.00
job5_m4_423.json,58.00,58.00
job3_m4_424.json,46.00,46.00
job5_m4_425.json,63.00,63.00
job6_m4_426.json,58.00,58.00
job3_m3_427.json,57.00,57.00
job4_m4_428.json,40.00,40.00
job4_m3_429.json,61.00,61.00
job6_m3_430.json,89.00,89.00
job4_m4_431.json,60.00,60.00
job4_m4_432.json,51.00,51.00
job6_m3_433.json,107.00,107.00
job4_m4_434.json,54.00,54.00
job5_m4_435.json,59.00,59.00
job4_m3_436.json,55.00,55.00
job4_m4_437.json,42.00,42.00
job5_m4_438.json,63.00,63.00
job3_m3_439.json,45.00,45.00
job3_m4_440.json,47.00,47.00
job5_m3_441.json,74.00,74.00
job6_m4_442.json,71.00,71.00
job5_m3_443.json,59.00,59.00
job6_m4_444.json,81.00,81.00
job6_m4_445.json,70.00,70.00
job6_m3_446.json,82.00,82.00
job6_m4_447.json,70.00,70.00
job5_m3_448.json,89.00,89.00
job4_m3_449.json,56.00,56.00
job5_m3_450.json,67.00,67.00
job4_m4_451.json,67.00,67.00
job4_m4_452.json,56.00,56.00
job3_m3_453.json,60.00,60.00
job4_m3_454.json,68.00,68.00
job4_m4_455.json,47.00,47.00
job3_m3_456.json,51.00,51.00
job6_m4_457.json,82.00,82.00
job3_m4_458.json,49.00,49.00
job6_m4_459.json,86.00,86.00
job6_m3_460.json,81.00,81.00
job3_m4_461.json,44.00,44.00
job3_m3_462.json,52.00,52.00
job3_m4_463.json,50.00,50.00
job6_m4_464.json,72.00,72.00
job6_m4_465.json,59.00,59.00
job4_m4_466.json,50.00,50.00
job5_m3_467.json,82.00,82.00
job5_m3_468.json,74.00,74.00
job3_m4_469.json,49.00,49.00
job4_m3_470.json,56.00,56.00
job5_m4_471.json,57.00,57.00
job4_m4_472.json,53.00,53.00
job6_m3_473.json,86.00,86.00
job4_m4_474.json,43.00,43.00
job5_m4_475.json,70.00,70.00
job6_m3_476.json,96.00,96.00
job6_m3_477.json,85.00,85.00
job3_m3_478.json,59.00,59.00
job3_m3_479.json,51.00,51.00
job3_m4_480.json,50.00,50.00
job3_m3_481.json,46.00,46.00
job5_m3_482.json,75.00,75.00
job4_m4_483.json,46.00,46.00
job4_m4_484.json,55.00,55.00
job5_m4_485.json,59.00,59.00
job3_m4_486.json,54.00,54.00
job4_m4_487.json,33.00,33.00
job4_m4_488.json,49.00,49.00
job3_m4_489.json,41.00,41.00
job6_m4_490.json,61.00,61.00
job6_m3_491.json,93.00,93.00
job4_m3_492.json,64.00,64.00
job3_m4_493.json,58.00,58.00
job6_m4_494.json,72.00,72.00
job3_m3_495.json,52.00,52.00
job3_m3_496.json,49.00,49.00
job6_m3_497.json,83.00,83.00
job4_m3_498.json,53.00,53.00
job4_m3_499.json,71.00,71.00
job4_m3_500.json,59.00,59.00
job4_m4_501.json,46.00,46.00
job5_m4_502.json,47.00,47.00
job5_m3_503.json,81.00,81.00
job3_m4_504.json,50.00,50.00
job4_m4_505.json,70.00,70.00
job6_m4_506.json,66.00,66.00
job5_m4_507.json,62.00,62.00
job3_m4_508.json,42.00,42.00
job3_m3_509.json,47.00,47.00
job4_m4_510.json,45.00,45.00
job5_m3_511.json,78.00,78.00
job6_m4_512.json,66.00,66.00
job6_m4_513.json,64.00,64.00
job4_m3_514.json,55.00,55.00
job6_m3_515.json,83.00,83.00
job4_m4_516.json,50.00,50.00
job6_m4_517.json,72.00,72.00
job3_m4_518.json,53.00,53.00
job5_m4_519.json,50.00,50.00
job5_m3_520.json,81.00,81.00
job5_m3_521.json,79.00,79.00
job3_m4_522.json,52.00,52.00
job5_m3_523.json,75.00,75.00
job5_m4_524.json,56.00,56.00
job6_m3_525.json,78.00,78.00
job4_m3_526.json,58.00,58.00
job4_m4_527.json,59.00,59.00
job5_m4_528.json,59.00,59.00
job6_m3_529.json,82.00,82.00
job5_m3_530.json,84.00,84.00
job5_m3_531.json,79.00,79.00
job3_m4_532.json,45.00,45.00
job5_m4_533.json,60.00,60.00
job4_m4_534.json,48.00,48.00
job4_m4_535.json,67.00,67.00
job5_m3_536.json,68.00,68.00
job5_m4_537.json,58.00,58.00
job4_m4_538.json,55.00,55.00
job3_m3_539.json,41.00,41.00
job5_m4_540.json,66.00,66.00
job4_m3_541.json,69.00,69.00
job4_m4_542.json,44.00,44.00
job6_m4_543.json,74.00,74.00
job4_m3_544.json,55.00,55.00
job3_m4_545.json,46.00,46.00
job3_m4_546.json,50.00,50.00
job5_m3_547.json,70.00,70.00
job3_m4_548.json,37.00,37.00
job3_m4_549.json,56.00,56.00
job3_m4_550.json,52.00,52.00
job4_m3_551.json,66.00,66.00
job5_m4_552.json,63.00,63.00
job5_m3_553.json,80.00,80.00
job6_m3_554.json,90.00,90.00
job3_m3_555.json,42.00,42.00
job4_m3_556.json,49.00,49.00
job6_m3_557.json,85.00,85.00
job6_m4_558.json,64.00,64.00
job6_m4_559.json,75.00,75.00
job4_m3_560.json,65.00,65.00
job5_m4_561.json,68.00,68.00
job6_m3_562.json,90.00,90.00
job6_m3_563.json,91.00,91.00
job4_m3_564.json,50.00,50.00
job3_m4_565.json,50.00,50.00
job6_m4_566.json,71.00,71.00
job6_m3_567.json,89.00,89.00
job3_m4_568.json,57.00,57.00
job4_m4_569.json,59.00,59.00
job5_m4_570.json,52.00,52.00
job6_m3_571.json,93.00,93.00
job4_m3_572.json,60.00,60.00
job5_m3_573.json,67.00,67.00
job6_m3_574.json,89.00,89.00
job6_m3_575.json,91.00,91.00
job3_m4_576.json,58.00,58.00
job5_m4_577.json,54.00,54.00
job4_m3_578.json,60.00,60.00
job3_m3_579.json,60.00,60.00
job3_m3_580.json,53.00,53.00
job6_m3_581.json,97.00,97.00
job5_m3_582.json,75.00,75.00
job3_m3_583.json,44.00,44.00
job6_m4_584.json,79.00,79.00
job5_m4_585.json,61.00,61.00
job6_m3_586.json,99.00,99.00
job3_m3_587.json,46.00,46.00
job5_m3_588.json,81.00,81.00
job6_m3_589.json,72.00,72.00
job3_m3_590.json,49.00,49.00
job4_m4_591.json,58.00,58.00
job4_m3_592.json,49.00,49.00
job6_m4_593.json,72.00,72.00
job4_m3_594.json,56.00,56.00
job4_m4_595.json,44.00,44.00
job4_m4_596.json,57.00,57.00
job5_m4_597.json,73.00,73.00
job3_m4_598.json,53.00,53.00
job5_m3_599.json,66.00,66.00
job6_m3_600.json,71.00,71.00
job5_m4_601.json,61.00,61.00
job3_m3_602.json,52.00,52.00
job4_m3_603.json,59.00,59.00
job5_m3_604.json,74.00,74.00
job4_m3_605.json,49.00,49.00
job4_m3_606.json,67.00,67.00
